Egyptian	Ammit	A demon with the head of a crocodile, the torso of a leopard, and the hindquarters of a hippopotamus
Egyptian	Amun	A man with the head of a ram, King of the gods, God of the Wind
Egyptian	Amunet	Wife of Amun, one of the creation goddesses
Egyptian	Anhur	An Egyptian sky god and God of war
Egyptian	Anput	Goddess of the seventeenth Nome of Upper Egypt
Egyptian	Anubis	God of dead, embalming, funerals, and mourning ceremonies
Egyptian	Anuket	Goddess of the river Nile
Egyptian	Apis	A live bull worshipped as a god at Memphis
Egyptian	Apophis	God of snakes and war and Chaos
Egyptian	Aten	The disk of the sun
Egyptian	Babi	God of baboons
Egyptian	Bast / Bastet	Cat goddess
Egyptian	Bes	dwarf god
Egyptian	Geb	God of the earth
Egyptian	Gengen-Wer	Goose god
Egyptian	Hapi	God of the Nile
Egyptian	Hathor	Goddess of love
Egyptian	Heket	Goddess of frogs
Egyptian	Horus	God of war, sky, and falcons
Egyptian	Isis	Goddess of magic, marriage, healing, and protection
Egyptian	Kebechet	Goddess of purification
Egyptian	Khepri	God of scarab beetles
Egyptian	Khnum	Ram-headed god
Egyptian	Khonsu	God of the moon
Egyptian	Kuk	Personification of darkness
Egyptian	Maahes	Egyptian lion-headed god of war
Egyptian	Ma'at	Goddess of justice, truth and of order
Egyptian	Mafdet	God of justice
Egyptian	Menhit	Minor lion goddess
Egyptian	Nephthys	Funerary goddess
Egyptian	Nekhbet	vulture goddess
Egyptian	Nut	Goddess of sky and stars
Egyptian	Osiris	God of the underworld and the afterlife
Egyptian	Pakhet	A goddess of motherhood and of war
Egyptian	Ptah	God of creation	
Egyptian	Qebui	God of the North wind
Egyptian	Qetesh	A mother-goddess of fertility
Egyptian	Ra	God of the Sun
Egyptian	Raet-Tawy	Female sun goddess of Upper and Lower Egypt
Egyptian	Sekhmet	Goddess of lions, fire and vengeance
Egyptian	Seker	Falcon god
Egyptian	Serqet	Goddess of scorpions
Egyptian	Seshat	Goddess of writing and measurement
Egyptian	Seth	God of chaos/change, deserts, storms, foreigners
Egyptian	Shu	God of wind and air
Egyptian	Sobek	God of crocodiles and alligators
Egyptian	Sopdu	A god of war
Egyptian	Tawaret	hippopotamus goddess, goddess of childbirth and fertility
Egyptian	Tefnut	lion goddess of water and fertility
Egyptian	Thoth	scribe god, god of wisdom
Egyptian	Wadjet	Goddess of protection
Egyptian	Wadj-wer	Personifies the Mediterranean Sea and other lakes
Mesopotamian	Ashur or Enlil	god of air, head of the Assyrian pantheon
Mesopotamian	Anu or An	god of heaven and the sky, lord of constellations, and father of the gods
